reperto	prova
poliammide	polimero
proprietà	impressionabilità
immanenza	presenza
aspirata	consonante
pentagono	poligono
calcificazione	callosità
ossido	composto
caraffa	vaso
salotto	salone
indispensabilità	essenzialità
opacità	qualità
discontinuità	separazione
liberiano	africano
appartamentino	appartamento
comunismo	ideologia
soggetto	elemento
acquafortista	artista
pigna	strobilo
intercessione	preghiera
permanganato	sale
coltello	arma
riconoscimento	memoria
ocra	terra
ipotenusa	fianco
impazienza	smania
boliviano	sudamericano
emiplegia	paralisi
pericolo	causa
tursiope	delfino
spastico	paralitico
dente	osso
castagno	legno
chiodo	chiusura
fotochimica	chimica
discarico	giustificazione
inclinazione	angolo
avvistamento	osservazione
tentacolo	processo
ipoderma	strato
carmelitano	frate
skyphos	tazza
impermeabile	cappotto
indonesiano	asiatico
spazialità	proprietà
tasso	mustelide
idromele	bevanda
prosciugamento	estrazione
pergamena	carta
banca	deposito
geodesia	geofisica
repertorio	deposito
filologo	umanista
parte	unità
frequenza	rapporto
infanzia	età
collettivo	impresa
segreto	informazione
polacco	slavo
cromosoma	corpo
arte	creazione
mezzana	albero
piezoelettricità	elettricità
comunione	rituale
occidentalizzazione	integrazione
valore	ideale
echinococco	tenia
clessidra	orologio
targa	lastra
direzione	tendenza
filantropia	aiuto
pompon	addobbo
faggio	legno
tagliere	tavola
potere	causa
affisso	desinenza
radicalismo	ideologia
fusa	suono
ginnasta	atleta
calice	tazza
solennità	serietà
crogiolo	ambiente
tribalismo	stato
stronzio	metallo
prova	informazione
autore	fabbro
laminaria	fuco
orientale	asiatico
calumet	pipa
trinceramento	fortificazione
biotite	mica
bardotto	equino
tossiemia	setticemia
battimento	vibrazione
fototropismo	tropismo
monodia	musica
monotonia	qualità
imperatrice	imperatore
cucchiaino	cucchiaio
tara	contrappeso
isotopo	atomo
deflettore	lastra
ouverture	musica
dattilo	piede
franco	europeo
driade	ninfa
squadrone	cavalleria
intolleranza	impazienza
stoma	buco
romanzo	narrativa
aborto	feto
pince	piega
deformità	danneggiamento
comunista	socialista
radice	numero
alloggiamento	protezione
implorazione	preghiera
grinza	piega
spugna	assorbente
polline	spora
simmetria	equilibrio
cartapesta	carta
neurologo	specialista
ascella	angolo
pinna	scarpa
immobilizzazione	restrizione
giornalismo	professione
brano	creazione
oceanografo	scienziato
differenza	cambiamento
operatore	funzione
momento	coefficiente
carica	tratto
disegno	arte
frivolezza	tratto
mantissa	frazione
vomere	cuneo
sofista	ragionatore
pagoda	tempio
mimesi	imitazione
pino	legno
revisionista	comunista
emulazione	imitazione
carrierista	professionista
toast	pane
particolarizzazione	descrizione
apparizione	illusione
concia	adattamento
lemna	idrofita
valutazione	classificazione
tularemia	zoonosi
anestetico	farmaco
colpa	responsabilità
autoconsapevolezza	autocoscienza
titanio	metallo
catodo	elettrodo
vanadato	sale
pubblico	ente
realtà	attualità
feldmaresciallo	maresciallo
specchio	riflettore
termografo	termometro
esaedro	poliedro
assiro	semita
convolvolo	vite
sensualità	concupiscenza
cartaginese	africano
amilasi	enzima
opalescenza	luminosità
cosa	attributo
sepiolite	minerale
duello	lotta
imminenza	stato
sosta	arresto
cagna	canide
bersaglio	posto
quartina	stanza
tenacità	elasticità
memoria	facoltà
comunicazione	astrazione
educazione	apprendimento
grandezza	proprietà
produzione	presentazione
incubo	sogno
intervista	interrogatorio
record	numero
occupazione	attività
puritanesimo	protestantesimo
bonsai	albero
neodimio	metallo
ateismo	miscredenza
autoipnosi	ipnosi
clorofilla	pigmento
paratifo	morbo
contatto	comunicazione
dipolo	coppia
martini	cocktail
trasporto	circolazione
menù	vitto
zangola	vaso
idoneità	competenza
nunzio	diplomatico
magnetometro	contatore
getto	copia
bocca	mangiatore
gnu	antilope
verbena	fiore
esca	combustibile
radiogoniometro	ricevitore
fotomontaggio	collage
anticiclone	atmosfera
misurabilità	qualità
agata	calcedonio
stampatrice	macchina
ciclo	intervallo
sinfonia	sonata
duodeno	tenue
guaiaco	legno
indiano	asiatico
minigolf	golf
gallo	celta
orchidea	fiore
colera	morbo
materiale	informazione
zingaresco	indiano
radice	forma
sumero	babilonese
idrovia	acqua
arcade	greco
balestruccio	rondine
distanza	punto
abbraccio	inserimento
mascella	osso
cretese	europeo
controfagotto	fagotto
semplificazione	cambiamento
cocktail	stuzzichino
torre	scacco
bignè	sfogliata
marmittone	recluta
sarda	calcedonio
salina	miniera
donna	femmina
genetica	biologia
concentrazione	aumento
autocritica	critica
criminologia	sociologia
trasmissione	comunicazione
archeologia	antropologia
elaborazione	sviluppo
padiglione	tenda
anellino	anello
sicomoro	fico
piacere	attività
maoismo	comunismo
gutturale	consonante
cardinale	vescovo
albanella	falco
cognata	affine
archiviazione	presentazione
gas	fluido
sintassi	struttura
college	complesso
cuccetta	letto
asperula	suffrutice
moloc	potere
quaresima	stagione
cambretta	chiodo
cambusa	cucina
radica	legno
pelago	acqua
astrologia	pseudoscienza
copertura	artefatto
citazione	chiamata
sodomia	pervertimento
vimine	legno
allumina	corindone
cloruro	composto
aracnoide	meninge
rivestimento	applicazione
crescendo	volume
dimenticanza	amnesia
cagna	antipatico
etichetta	descrizione
statica	meccanica
energia	carica
esistenzialista	filosofo
orchessa	orco
osteoporosi	patologia
ideazione	pensiero
zuccheriera	piatto
lamella	membrana
galloccia	chiusura
contesto	eloquio
mazza	martello
ipoclorito	sale
reostato	resistenza
discrezione	libertà
novità	età
mielina	grasso
vertebra	osso
singolare	forma
coccio	pezzo
onorabilità	rettitudine
oospora	spora
corazza	armatura
valeriana	fiore
particolarismo	tendenza
gelo	tempo
bioluminescenza	luminescenza
identità	riconoscimento
falchetta	corso
storta	vaso
clip	chiusura
curcumina	aroma
algerino	africano
vita	esperienza
insalata	piatto
alogenuro	sale
duralluminio	lega
liquidità	stato
machiavellismo	autocrazia
pannocchia	nucleo
caolinite	minerale
leptospirosi	zoonosi
vetraio	artigiano
salvadoregno	sudamericano
bicarbonato	carbonato
sottosegretario	segretario
nazista	fascista
entomologo	zoologo
chiodino	agarico
antiprotone	nucleone
logica	filosofia
kayak	canoa
decodificatore	macchina
bazar	mercato
assonanza	rima
turno	orario
linguetta	copertura
ghiacciolo	ghiaccio
monopolizzazione	dominazione
bordata	fuoco
gallese	europeo
fermo	chiusura
tunica	membrana
aderenza	patologia
sole	tempo
tridente	lancia
pilone	torre
sacculo	sacco
gallo	pollo
trementina	oleoresina
ossicino	osso
americanizzazione	integrazione
affresco	pittura
urologo	specialista
rete	trappola
cartolina	biglietto
espressione	comunicazione
galeotto	schiavo
granito	saldezza
congestione	sintomo
ghisa	ferro
supinazione	rotazione
fibrosi	patologia
interdizione	divieto
alpenstock	bastone
ecologia	ambiente
aquilegia	fiore
concupiscenza	desiderio
cosmologia	astrofisica
plasmodio	citoplasma
interim	intervallo
tigna	micosi
orologiaio	fabbro
fermio	metallo
boomerang	proiettile
creazione	attività
moralista	dittatore
imposta	pietra
cattedrale	chiesa
giavanese	indonesiano
immortale	celebrità
simmetria	spazialità
pattinatore	atleta
romantico	idealista
pathos	stile
micropilo	buco
castoro	roditore
tuia	conifera
stimatore	giudice
nobilitazione	promozione
glutammato	sale
marchese	gentiluomo
massello	legno
trinciante	coltello
gatto	felino
trapezio	altalena
carbonado	diamante
cancan	coreografia
pacciamatura	protezione
peronospora	muffa
normale	retta
scorrettezza	sconvenienza
congiunzione	incontro
molletta	chiusura
apiario	capannone
fusione	unione
orientalista	specialista
angolano	africano
erbio	metallo
protezione	copertura
autoanalisi	psicoterapia
psicolinguistica	cognitivismo
clinch	manovra
cerume	cera
pietà	rettitudine
pollo	vittima
capote	tetto
candeliere	palo
zero	punteggio
laminatura	applicazione
narcosi	anestesia
sebo	secrezione
roulette	curva
aria	gas
adenocarcinoma	carcinoma
calcolo	pianificazione
fermata	posto
salsapariglia	vite
archivio	deposito
lavoro	energia
clorato	sale
reattività	impressionabilità
fondamentalismo	protestantesimo
cannula	cannello
granito	batolite
bozzolina	suffrutice
presentazione	esposizione
ascia	arma
astronomia	fisica
logaritmo	esponente
allografo	firma
angolo	punto
revisione	manutenzione
calcolatrice	macchina
griglia	elettrodo
spumante	vino
inizializzazione	formattazione
antibiotico	antibatterico
arteriola	arteria
islandese	europeo
batteria	attrezzo
evviva	approvazione
grancassa	tamburo
compagnia	amicizia
marmotta	roditore
araucaria	conifera
catatonia	schizofrenia
arciduca	principe
cerio	metallo
dentina	osso
settuagenario	anziano
anello	oreficeria
barattolo	vaso
viscere	organo
endometriosi	patologia
maestro	artista
centro	punto
anione	ione
filodendro	liana
copertura	protezione
matriarcato	edificio
cartella	bagaglio
motilità	mobilità
omologazione	approvazione
atmosfera	gas
colonia	ente
ginnastica	sport
sparide	perciforme
cardiologo	specialista
anglonormanno	francese
canna	cannello
jugoslavo	europeo
onore	rettitudine
protone	nucleone
passato	tempo
spermaceti	cera
enologia	arte
gioventù	età
trinchetto	vela
ilo	punto
continenza	autodisciplina
colombiano	sudamericano
giacobino	terrorista
cicisbeo	inserviente
autodisciplina	disciplina
triage	cernita
tarsio	primate
vergine	innocente
mas	torpediniera
ilmenite	minerale
endotelio	epitelio
carbonaia	capannone
elettronica	fisica
caldana	sintomo
senso	facoltà
welfare	aiuto
cornea	membrana
arpeggio	accordo
ectoplasma	citoplasma
turbopompa	pompa
ipotesi	proposta
aglio	aroma
sodio	metallo
norvegese	europeo
pastorale	osso
verificatore	investigatore
galvanometro	contatore
belladonna	atropina
canasta	ramino
ematologo	specialista
ortofonia	terapia
controcultura	cultura
ritirata	abbandono
prestito	eliminazione
scimitarra	sciabola
contatore	calcolatrice
fisico	scienziato
padre	maschio
stato	attributo
scommettitore	giocatore
tuberosità	processo
alluminio	metallo
riserva	capitalizzazione
mutuante	investitore
alchimia	pseudoscienza
verro	maiale
barbaglio	luminosità
operazione	attività
mansarda	finestra
vetraio	fabbro
arciduchessa	principessa
agorafobia	fobia
orologiaio	artigiano
curdo	iranico
opalina	vetro
asfalto	minerale
potere	stato
triangolo	poligono
castrismo	comunismo
anapesto	piede
egittologia	archeologia
pino	conifera
talpa	insettivoro
palissandro	legno
acclamazione	approvazione
colesterolo	sterolo
restrizione	controllo
etiope	africano
presente	tempo
tasca	sacco
bozzettista	illustratore
campeggiatore	vacanziere
ghiaccio	cristallo
stufato	piatto
bestialità	sesso
cristallo	vetreria
indice	fatto
armonia	musica
limite	estremità
consiglio	direzione
gloria	onore
dimero	composto
iolla	veliero
arco	durata
perfetto	tempo
alessia	afasia
russo	slavo
puritano	asceta
apologetica	teologia
strato	artefatto
avvoltoio	rapace
contingenza	dipendenza
cherubino	angelo
ideografia	ortografia
centenario	anziano
centrino	biancheria
monossido	ossido
aspiratore	pompa
ferretto	larva
ugonotto	calvinista
finanziere	capitalista
stilo	attrezzo
forchettone	forchetta
contrappunto	polifonia
dissociazione	separazione
internunzio	diplomatico
uadi	canale
rielezione	elezione
motore	macchina
dieta	vitto
separazione	stato
violino	archi
sabra	israeliano
cordone	addobbo
serbocroato	slavo
lira	arpa
champagne	spumante
carragenina	gomma
attenzione	facoltà
aquila	rapace
liberto	libero
stagflazione	inflazione
zanna	canino
verde	semaforo
coppia	famiglia
strappamento	ferita
ornitologo	zoologo
quadricipite	estensore
acacia	albero
dado	blocco
volta	tetto
filetto	bistecca
amputazione	redazione
abete	conifera
caravanserraglio	locanda
terrina	piatto
arrangiatore	musicista
astigmatismo	ametropia
accento	inflessione
kamikaze	caccia
californiano	americano
incenso	composto
autoimmunità	patologia
sottotenente	tenente
monolito	pietra
rigidità	anelasticità
teiera	pentola
vetrinista	artigiano
rottame	declino
secante	retta
cassetta	sedile
manifesto	dichiarazione
granata	bomba
neutro	genere
marabù	cicogna
camaleonte	lucertola
invalidità	illogicità
delineazione	disegno
microbiologia	biologia
cuffia	ricevitore
pregnanza	significato
alveolo	sacco
pattugliamento	protezione
cinese	asiatico
ippodromo	stadio
rubidio	metallo
fontanella	fontana
guerrigliero	guerriero
indelicatezza	sconvenienza
artropodi	invertebrato
incongruenza	contraddittorietà
ischio	osso
fumo	aerosol
sincrotrone	ciclotrone
campanello	pulsante
ventricolo	camera
uria	alca
migratore	viaggiatore
osmio	metallo
coriandolo	erba
rosa	buco
ghiro	roditore
campagna	gara
erpetologo	zoologo
ipertrofia	displasia
macchia	vegetazione
razzismo	discriminazione
creolo	americano
elaboratezza	complessità
spaccata	acrobazia
tantalite	minerale
statua	scultura
adorazione	apprezzamento
colonialista	credente
elettrone	leptone
piastra	scudo
mammut	elefante
pentametro	verso
contribuente	pagatore
trocheo	piede
tacheometro	teodolite
dissuasione	comunicazione
nitrificazione	ossidazione
stagno	metallo
incurabilità	inalterabilità
tetracloruro	composto
salamoia	soluzione
espresso	caffè
bocchino	cannello
orlo	limite
batteriologo	biologo
dabbenaggine	semplicità
reattività	sensibilità
adattamento	cambiamento
alabastro	gesso
glomerulo	capillare
intimità	appartenenza
modernista	artista
corso	strato
canto	suono
utilitario	moralista
trombosi	obliterazione
spartano	greco
latticello	latte
salvietta	asciugamano
racket	impresa
piramide	poliedro
guerra	azione
salsedine	proprietà
biglietto	cartone
bromuro	alogenuro
radioattività	proprietà
cognitivismo	psicologia
palizzata	fortificazione
polimero	composto
scalogno	cipolla
cerbottana	cannello
requiem	messa
campione	distribuzione
geodetica	linea
karakiri	suicidio
pericardite	cardite
serrata	resistenza
continenza	controllo
napoletano	italiano
amalgama	lega
tortina	crostata
euforbio	gomma
mesenchima	mesoderma
insieme	astrazione
crostino	pane
riconsiderazione	ripensamento
bergamotto	arancio
diavolo	esclamazione
demografia	sociologia
neuropsicologia	psicologia
immortalità	permanenza
salice	albero
padella	vaso
gomma	essudato
ereditiera	erede
termoionica	elettronica
radiocarbonio	carbonio
aorta	arteria
perclorato	sale
preparato	composto
indonesiano	malese
satiriasi	concupiscenza
sincizio	citoplasma
professionista	atleta
protele	iena
crauti	piatto
tritone	salamandra
fondue	piatto
impopolarità	qualità
verità	attualità
fatto	informazione
infrastruttura	struttura
effettore	organo
gastrula	embrione
trance	incoscienza
delfino	principe
cappone	pollo
dissodamento	coltura
giallo	storia
teratologia	embriologia
ambasciatrice	ambasciatore
anabolismo	assimilazione
console	diplomatico
monetarista	economista
disfunzione	patologia
moroso	debitore
colono	migratore
coclearia	nasturzio
dragoncello	erba
proscrizione	rigetto
valutazione	giudizio
dugongo	sirene
austriaco	europeo
ossalato	sale
spezzatino	stufato
cerussite	minerale
biochimico	chimico
minareto	torre
pitone	boa
barriera	meccanismo
piantaggine	banano
papilla	processo
italiano	europeo
cobalto	metallo
contadina	paesano
anfiteatro	stadio
candela	lampada
croupier	giocatore
zoologo	biologo
arancio	pigmento
esacerbazione	esasperazione
bronzina	ottone
sarcoplasma	citoplasma
faggio	albero
nibbio	falco
focalizzazione	intensificazione
astronomo	fisico
onnipotenza	stato
tastiera	listello
inventario	elencazione
meningite	morbo
eccentricità	singolarità
birmano	asiatico
ninfea	idrofita
anglofobia	antipatia
pizza	piatto
coordinatore	organizzatore
esametro	verso
maiuscoletto	maiuscolo
virga	precipitazione
elettrochimica	chimica
ebanista	falegname
acetato	sale
datore	buono
benedizione	preghiera
terbio	metallo
arminianesimo	protestantesimo
matrimonio	sacramento
silhouette	disegno
ugandese	africano
penicillina	antibiotico
ghinea	moneta
statistica	dato
scavo	sede
sudamericano	americano
surfista	nuotatore
ovazione	riconoscimento
argentino	sudamericano
incrocio	punto
dardo	proiettile
patriarcato	edificio
ptialina	amilasi
recinto	spazio
abbandono	eliminazione
baule	bagaglio
polonio	metallo
piaga	infezione
svedese	europeo
unità	organizzazione
americano	inglese
palladio	metallo
borghese	capitalista
suffisso	morfema
cortina	protezione
eruzione	scarica
doppione	copia
figurino	tavola
coma	incoscienza
peduccio	zampa
bordone	piffero
papavero	fiore
orientamento	senso
straordinarietà	qualità
pubertà	età
carbonile	composto
enologo	specialista
agora	mercato
obelisco	colonna
preziosità	valore
oracolo	profezia
calcopirite	minerale
palato	superficie
nominativo	caso
sgombero	trasporto
reologia	fisica
tovaglia	tovagliato
droga	farmaco
balistica	dinamica
caduta	fallimento
fiuto	percezione
serie	polinomio
controrivoluzione	rivoluzione
internato	residente
segatura	legno
catenaria	curva
esoftalmo	sintomo
fabianesimo	socialismo
psicofarmacologia	farmacologia
proiettile	arma
pioniere	colono
inghiottitoio	avvallamento
orgasmo	consumazione
antracite	carbone
dalmata	europeo
attrazione	forza
climatologia	meteorologia
teoria	spiegazione
pressione	forza
commesso	venditore
golfo	acqua
concentrazione	proprietà
spugna	invertebrato
catalano	spagnolo
antenna	tentacolo
assiriologia	archeologia
plurale	forma
albanese	indoeuropeo
sidro	bevanda
idrolisi	reazione
imboschimento	adattamento
bureau	banco
cinabro	minerale
edizione	tiratura
difterite	contagio
lantanio	metallo
stasi	patologia
disinformazione	informazione
cifra	cifrario
cece	legume
recrudescenza	scoppio
superficie	artefatto
tamia	scoiattolo
peltro	lega
combinazione	sequenza
detenzione	restrizione
illogicità	qualità
mustacchi	baffo
arsenopirite	minerale
acinesia	paralisi
eufuismo	prosa
manganite	minerale
magnesio	metallo
solfato	sale
convalida	informazione
tavolozza	tavola
chelazione	processo
polpetta	piatto
vertebrato	cordato
boma	asta
pallio	paramenti
ateniese	greco
coniglietta	cameriera
cartellino	etichetta
galvanismo	elettricità
cinematica	meccanica
elementi	tempo
francese	europeo
fotoelettrone	elettrone
narcisista	egoista
critico	professionista
interno	scenario
trapianto	circolazione
freccia	segno
zafferano	croco
metodicità	qualità
moscovita	russo
tappezzeria	carta
arcangelo	angelo
garza	medicazione
contentino	concessione
vetriolo	acido
manganato	sale
imitazione	copiatura
autoclave	vaso
neutralizzazione	annullamento
muratore	artigiano
paraorecchie	linguetta
ottaedro	poliedro
incontro	convergenza
etologo	zoologo
allucinazione	mania
quercia	albero
angolo	spazio
barbacane	torre
cadmio	metallo
putridume	insalubrità
immolazione	sacrificio
topografia	geografia
costola	osso
divisore	numero
arenaria	fiore
luna	satellite
estradosso	curva
bambù	legno
focena	delfino
bilabiale	labiale
calcio	metallo
sarcolemma	membrana
osteosarcoma	sarcoma
crema	piatto
cilindro	solido
scoiattolo	roditore
filaria	ascaride
britannico	europeo
liturgia	rito
semiprofessionista	professionista
sinapsi	giuntura
deismo	razionalismo
disturbo	disagio
sanzione	approvazione
istante	presente
industrializzazione	industria
trovata	manovra
distico	stanza
cartellone	superficie
microelettronica	elettronica
ministro	dirigente
dentale	consonante
narcosi	incoscienza
indicativo	cifrario
viscere	centro
purista	pedante
tassametro	contatore
riflusso	marea
governo	controllo
pervinca	suffrutice
tiglio	albero
sfintere	muscolo
entomologia	zoologia
ricovero	protezione
nume	spirito
peonia	fiore
razionalizzazione	spiegazione
mungitrice	macchina
tunisino	africano
semiconduttore	conduttore
finta	manovra
mola	ruota
ritorno	arrivo
decoro	convenienza
perimetro	linea
raggio	retta
ricercatore	scienziato
razione	vitto
controinterrogatorio	interrogatorio
formazione	disposizione
interpretazione	spiegazione
petunia	fiore
estuario	acqua
bisessualità	sesso
franchigia	concessione
cannello	condotto
autobomba	bomba
moltiplicando	numero
caprifico	albero
fenomeno	processo
natura	causa
varano	lucertola
contrappeso	peso
meteorologo	specialista
filatore	fabbro
tombacco	lega
gancio	curva
aderenza	attrito
osteomielite	osteite
aritmia	cardiopatia
plastica	solido
barba	tomento
statistico	matematico
gas	stato
gessetto	calcite
galeone	veliero
industria	attività
fico	albero
chiave	spiegazione
fantasmagoria	rappresentazione
realista	filosofo
berlinese	tedesco
freno	restrizione
bottone	chiusura
ozono	gas
miopia	ametropia
ioduro	alogenuro
materialista	capitalista
tetraggine	atmosfera
gabbia	vela
paradigma	desinenza
disinvestimento	prelievo
falegname	artigiano
baionetta	coltello
larice	legno
faccia	superficie
madre	femmina
calcocite	minerale
posta	comunicazione
effetto	sintomo
fosfato	sale
genoma	ordine
cresta	processo
posatore	esibizionista
tetraplegia	paralisi
camminamento	trincea
muschio	odore
libro	pubblicazione
somalo	africano
cetriolino	cetriolo
autoanalisi	introspezione
polinomio	funzione
evaso	latitante
cipresso	legno
manganese	metallo
insistenza	richiesta
ostensorio	vaso
nodo	fatto
tartaro	mongolo
avvocatura	classe
stagnatura	applicazione
mandarino	agrume
banco	fondo
fondo	avvallamento
quadrato	numero
schermo	superficie
proteo	salamandra
carovana	processione
liquido	fluido
vetro	solido
pervertimento	sesso
oscillografo	registratore
indennità	ricompensa
salamandra	anfibio
sfenoide	osso
addolcimento	condimento
nasello	pesce
greco	europeo
peritoneo	sierosa
massimo	limite
aritmetico	matematico
affisso	artefatto
memoriale	autobiografia
dragona	nappa
curva	linea
congolese	africano
romantico	artista
veliero	bastimento
neutrone	nucleone
marmitta	pentola
acqua	elemento
animalità	natura
mirtillo	bacca
pectina	cellulosa
appartamento	alloggio
feticcio	portafortuna
batteria	artiglieria
mezzana	vela
attrito	resistenza
stabilizzazione	unificazione
libertà	stato
rastrello	attrezzo
fosgene	gas
saluto	riconoscimento
menta	caramella
circonvenzione	evasione
prima	ingranaggio
tornado	ciclone
sfigmomanometro	manometro
balestra	arco
saponificazione	reazione
sensibilizzazione	immunizzazione
nigeriano	africano
ingrassatore	pompa
vinco	salice
aliquota	divisore
radiologo	specialista
spratto	aringa
mercurio	metallo
sale	composto
cristallo	solido
otaria	foca
epoca	data
costanza	percezione
normanno	francese
cruscotto	protezione
yuppie	professionista
fortificazione	difesa
involucro	copertura
telefonia	telecomunicazioni
coriandolo	aroma
letterato	umanista
dattilologia	alfabeto
imprimatur	sanzione
gel	colloide
patria	origine
cromo	metallo
coccige	osso
pattinaggio	sport
tetto	protezione
zinco	metallo
citostoma	bocca
messa	funzione
copula	verbo
tratto	attributo
psicometria	psicologia
lem	astronave
idrostatica	idraulica
genetista	biologo
intermittenza	irregolarità
mocassino	scarpa
controfirma	firma
cinismo	pessimismo
anfiteatro	ballatoio
barbecue	piatto
grissino	pane
preterito	passato
inibizione	astinenza
dotazione	capitale
cilicio	camicia
elettrometro	contatore
piastrina	protoplasma
improbabilità	incertezza
alabastro	calcite
columbite	minerale
poliedro	solido
cassia	albero
federalismo	ideologia
amperometro	contatore
toscano	italiano
costituzione	legge
anodo	elettrodo
centrosoma	citoplasma
peruviano	sudamericano
diagonale	retta
perineo	regione
onomastico	festa
opportunismo	egoismo
incertezza	qualità
logogramma	ideogramma
narghilè	pipa
ippica	corsa
scinco	lucertola
dragoncello	artemisia
filiale	divisione
dolomite	minerale
girobussola	bussola
tampone	carta
biofisico	fisico
autoerotismo	sesso
guazzo	acquerello
patatine	patata
sociobiologia	biologia
duplicazione	copiatura
sierosa	membrana
gigante	impresa
marionetta	figura
terzuolo	falco
assente	viaggiatore
santo	buono
cedro	legno
birraio	fabbro
spot	lampada
ossidrile	composto
immunizzazione	protezione
libico	africano
plastidio	granulo
modellista	fabbro
grafologo	specialista
soffocazione	prevenzione
endospora	spora
disfattista	pessimista
agglutinina	anticorpo
tulle	maglia
cefalosporina	antibiotico
falconeria	arte
tarso	ossatura
plastica	arte
congelatore	frigo
galattosio	saccarosio
sisal	agave
blocco	artefatto
palazzo	dimora
esposizione	comunicazione
perdita	fallimento
volta	caso
formella	blocco
fornitore	borghese
apologia	discarico
sommergibilista	marinaio
umorista	intrattenitore
ioide	osso
sorso	riflesso
etnografo	antropologo
rete	sistema
zafferano	aroma
ballerina	ballerino
loto	ninfea
inconvertibilità	intercambiabilità
minaccia	pericolo
organizzazione	unità
cronografo	contaminuti
porta	accesso
peristilio	colonnato
agape	funzione
tiratura	pubblicazione
liquirizia	caramella
cesio	metallo
vermouth	vino
lucciola	accompagnatore
babà	torta
portiere	guardia
mogano	legno
cerambice	maggiolino
acagiù	albero
cisterna	sacco
mecca	posto
avena	cereale
insegnamento	professione
ciondolo	addobbo
caporale	sottufficiale
vicecomandante	coadiutore
elefantiasi	ipertrofia
armeno	alfabeto
pagella	informazione
voce	suono
cupola	tetto
barra	banco
grappino	ancora
colpo	suono
hindi	sanscrito
veronal	barbiturico
lato	superficie
organizzazione	amministrazione
libido	concupiscenza
miglio	cereale
lucido	preparato
precipitante	agente
base	contenimento
sionismo	politica
europeizzazione	integrazione
fotografo	artista
babordo	lato
yankee	americano
maglio	martello
pogrom	persecuzione
domenicano	frate
circolazione	cambiamento
ritmo	ciclicità
etnologia	antropologia
imprecisione	inesattezza
dermatologo	specialista
brasiliano	sudamericano
leprotto	lepre
impotenza	qualità
escara	crosta
cloruro	alogenuro
possesso	controllo
micropaleontologia	paleontologia
anfibologia	ambiguità
rettile	vertebrato
eiaculazione	espulsione
incrocio	influenza
durezza	consistenza
condominio	alloggio
distillato	liquido
cavallo	scacco
pioppo	legno
monografia	trattato
fisioterapia	terapia
luppolo	vite
cretinismo	ipotiroidismo
irroratore	manovale
fortificazione	arricchimento
ermeneutica	teologia
passaggio	viaggio
antecedente	referente
modernità	attualità
magnesite	minerale
incisione	scultura
lavanda	irrigazione
artrosi	artrite
lomento	baccello
scarlattina	contagio
protestantesimo	cristianesimo
inquisizione	interrogatorio
contagocce	pipetta
passerella	ponte
diossina	idrocarburo
grembo	coscia
taschino	tasca
telegrafia	telecomunicazioni
munizioni	armamento
fiducia	tratto
pessimista	scettico
brucellosi	zoonosi
eredità	proprietà
fame	pulsione
camicia	involucro
allestimento	produzione
democrazia	ideologia
principio	legge
callosità	sintomo
avifauna	fauna
imperativo	modo
interrogatorio	interrogativo
dalia	fiore
membro	unità
capillare	cannello
primogenitura	eredità
cusco	falangista
stoico	filosofo
radioisotopo	isotopo
digeribilità	commestibilità
etologia	zoologia
anemone	fiore
mischia	lotta
etile	alchile
pleura	sierosa
bozza	tiratura
congregazionalismo	protestantesimo
assottigliamento	abbassamento
ostetrico	specialista
scuola	ente
damigiana	bottiglia
lesbico	greco
dipendenza	stato
murena	anguilla
endoplasma	citoplasma
implicazione	coinvolgimento
numismatico	collezionista
bestiario	libro
confessione	ammissione
europio	metallo
viola	archi
controdado	dado
metodismo	protestantesimo
bosso	legno
cristallografia	fisica
empirista	filosofo
centaurea	fiore
grazia	stato
deposizione	prova
ducato	moneta
crepuscolo	declino
sensibilità	senso
crescione	nasturzio
manubrio	peso
sclerosi	patologia
capitale	sede
balletto	musica
samara	achenio
coreano	asiatico
linearità	coesione
giustizia	giudizio
ebano	albero
nodo	legno
pirosseno	minerale
pedana	piattaforma
zirconio	metallo
resistenza	ritrosia
astensione	autodisciplina
scimmia	primate
parodia	caricatura
turismo	attività
mantenimento	possesso
bruco	larva
mediazione	intervento
californio	metallo
ciclicità	metodicità
ottava	stanza
archeologo	antropologo
troiano	asiatico
antenna	asta
etimo	forma
lampione	lampada
spirale	curva
matematico	scienziato
attendente	inserviente
tabù	inibizione
allofono	fonema
riflessione	considerazione
voce	comunicazione
agitatore	allarmista
nepalese	asiatico
ariete	attrezzo
padre	genitore
tenore	qualità
avvento	arrivo
danese	europeo
barografo	barometro
china	albero
affettatrice	macchina
meninge	membrana
passivo	voce
oggi	presente
flottante	azione
inventario	ridimensionamento
