idromele	appannaggio
balsamo	unguento
destrezza	abilità
serratura	chiusura
pizzico	pizzicotto
studente	scolaro
acrimonia	acerbità
incertezza	forse
inesauribilità	persistenza
immutabilità	costanza
bestia	bruto
uruguayano	uruguagio
ingordo	tellurio
fioriera	vaso
percetto	percezione
mestolo	mestola
affittuario	inquilino
mulinello	gorgo
bella	bellezza
mestola	cazzuola
sfida	disfida
corsiero	destriero
profluvio	torrente
oocita	ovocita
rinomanza	celebrità
dabbenaggine	credulità
barone	magnate
immagine	foto
dina	dine
uruguagio	uruguayano
lepiota	bubbola
arma	forza
pelata	calvizie
figuraccia	sfondone
ordinanza	mandato
abramide	vocazione
fricativa	fricativo
disincanto	disillusione
misericordia	mercé
soprabito	pastrano
cosa	roba
schermo	video
scrupolo	accuratezza
ricambio	rimpiazzo
flessibilità	malleabilità
mongolfiera	balloon
obbiettività	equità
pregio	merito
votazione	voto
sella	sellino
ipossia	anossia
soggetto	problema
infermità	mollezza
cima	cavo
cultura	episteme
scorrettezza	ingiusto
proprietà	possedimento
eccitamento	eccitazione
megalito	megalite
tribade	lesbica
acidità	asprezza
papula	bollicina
misericordia	pena
banchiere	biscazziere
fecondità	produttività
palla	coglione
marmellata	confettura
arpione	rampone
vaso	rampa
carogna	puzzone
misura	livello
viscere	lepre
canale	paraboloide
fantasia	inventiva
sterzo	volante
esposizione	resoconto
caposala	capoinfermiera
adattamento	trasformatore
cristalleria	cristallo
sito	luogo
umo	humus
trascuratezza	negligenza
fremito	brivido
tiretto	cassetto
necessità	bisogna
mobilità	mutabilità
emù	valutazione
vetro	cristallo
sceneggiato	serial
ripetizione	ripassata
equilibrio	rispondenza
telecomando	radiocomando
parsimonia	economia
imitazione	peccato
cartello	trust
spogliazione	spoliazione
militante	attivista
fascetta	anello
senzacasa	senzatetto
dichiarazione	licitazione
spazzatura	immondizia
asimmetria	asimmetricità
disapprovazione	deplorazione
calmante	tranquillante
rifiuto	diniego
secchione	sgobbone
baco	bug
amante	amico
arrocco	arroccamento
deponente	depositante
madrina	comare
boxe	pugilato
bretella	cinghia
onorabilità	credito
diagnostica	nosologia
handicap	abbuono
ictus	attacco
adunanza	radunata
cavalluccio	ronzinante
cremisi	porpora
bordone	ronzio
geopolitica	micrometro
deliberazione	delibera
buco	apertura
sfilza	filza
perpendicolarità	verticalità
elemento	fattore
bonifico	sconto
formula	espressione
zampa	gamba
chiavarda	bullone
terreno	terra
errore	sbaglio
intesa	massoneria
eternità	secolo
giorno	giornata
scoppola	chepì
gazebo	padiglione
tamburino	tamburo
frescura	fresco
danese	alano
antro	grotta
marciapiedi	marciapiede
arbusto	cespuglio
galletto	pollastro
stabilimento	orecchio
grande	adulto
pedagogo	insegnante
disinfezione	sterilizzazione
giudizio	sentenza
palmola	camma
imbroglio	frode
copto	cofto
bile	fiele
catechesi	dottrina
brogliaccio	scartafaccio
malizia	malvagità
barca	mucchio
immagine	ritratto
ostruzione	ostruzionismo
cravattino	gala
gerarchia	basco
vento	aria
audacia	ardire
ostetrica	levatrice
confidenza	dimestichezza
patema	cruccio
pronuncia	pronunzia
canestro	cesta
cornuto	becco
sequenza	serie
margine	lato
eleganza	signorilità
ammirazione	considerazione
nickel	nichel
canonico	canone
decrescendo	immaterialità
resto	avanzo
corteccia	buccia
anticipazione	pronostico
baronia	baronaggio
facciata	pagina
bagnata	incisione
succhiello	succhio
traliccio	graticolato
ciurma	equipaggio
casotto	cabina
manca	mancina
evangelo	vangelo
amigdala	organizzazione
urlo	clamore
scotta	mura
replica	risposta
poscritto	postscriptum
disinvoltura	naturalezza
riprovazione	disapprovazione
campanula	campanella
fumetto	striscia
dizionario	vocabolario
corpetto	gilè
solvibilità	solvenza
solarium	solario
chiave	chiavetta
rosso	bolscevico
stormo	benedettino
falegname	pretensione
cesto	capolino
inesorabilità	implacabilità
neo	manchevolezza
costrizione	coercizione
islamismo	islam
fila	sequela
confessionario	confessionale
mona	fregna
scariola	scarola
portata	orbita
cattiveria	male
fregola	calore
induista	indù
homeless	senzatetto
vanità	boria
incorporamento	incorporazione
tributario	affluente
gruccia	stampella
interrato	sottoterra
passaggio	fase
fortuna	successo
centro	capitale
fortezza	rocca
ansia	ansietà
background	bagaglio
cirro	viticcio
mezzosangue	meticcio
abbaino	solaio
soluzione	risultato
studio	indagine
fifa	pavoncella
branca	morso
davanti	muso
cultura	civiltà
grido	urlo
ossidiana	allotropia
abitazione	residenza
scontro	cozzata
stagnazione	ristagno
arresto	fermo
cacciagione	selvatico
portamento	brontolone
fecaloma	stipsi
meeting	adunanza
cenno	mossa
geto	sintonizzazione
intuizione	presentimento
abaco	abbaco
grassatore	neutrino
intestazione	titolo
effettuazione	esecuzione
coscienziosità	logicità
eredità	legato
discolpa	scusante
impugnatura	maniglia
lavoro	compito
steroide	carratore
masturbazione	onanismo
gioia	gaudio
rabbino	rabbi
dispensa	ripostiglio
chierico	chierichetto
acquamanile	brocca
slancio	impeto
edulcorante	dolcificante
rendimento	produttività
anasarca	idropisia
rito	costume
forbice	molleggio
intagliatore	incisore
arcione	sella
traduzione	cupido
caldo	calore
macinazione	molitura
senso	accezione
moltitudine	popolo
fabbricatore	produttore
aspirazione	suzione
mattonella	mattone
ha	ettaro
vista	vedere
crollo	crac
sussurro	fruscìo
cavallone	mastodonte
orientazione	orientamento
margine	marginatura
raffia	rafia
pedana	trampolino
mano	cupola
decifrazione	decodifica
questura	polizia
vicaria	vicariato
buttata	germoglio
cardine	arpione
bere	bevuta
sole	luce
detrattore	denigratore
annodatura	allacciatura
governo	gestione
tegame	padella
lama	spadaccino
armatura	corazza
eclissi	eclisse
coscia	cosciotto
pensiero	idea
legatura	incassatura
scottatura	bruciatura
schema	forma
scalfittura	sgraffio
vigilia	digiuno
cornice	cengia
plaga	regione
batteria	corredo
cavata	estrazione
marciume	materia
ladro	ladra
gardenia	cardenia
dozzina	dodici
cordigliera	dorsale
solleone	canicola
sbandamento	deviazione
creatività	ingegnosità
bianco	caucasico
complemento	riserva
nocività	perniciosità
cardenia	gardenia
infiorescenza	inflorescenza
mandarino	clementina
forte	specialità
gettata	getto
concime	ingrasso
austerità	ascesi
esploratore	scolta
disprezzo	disdegno
assoggettamento	subordinazione
tappeto	parrucchino
gallinacei	galliformi
accoppiata	abbinata
rientranza	capoverso
innesto	giunto
posizione	situazione
rinforzo	consolidamento
interruzione	arresto
massaio	coltivatore
acquaneve	nevischio
furgone	autofurgone
rayon	raion
commissione	corsa
lavabiancheria	lavatrice
erpete	herpes
equilibratore	elevatore
cascata	cateratta
docente	cattedratico
bagatella	bagattella
grassezza	feracità
padre	don
labirinto	dedalo
screziatura	piazzata
oleandro	leandro
tetragono	quadrilatero
plinto	dado
lillà	serenella
espero	zefiro
ramarro	ragano
formula	ricetta
bombetta	tubino
pendolarità	pendolarismo
giravite	cacciavite
acino	bacca
auto	macchina
macchinario	apparato
amperora	finanza
sigillatura	impermeabilizzazione
rito	cerimonia
critica	recensione
arto	estremità
sarcoma	mustelide
bruttezza	brutto
laburista	laborista
racconto	narrazione
rivista	avanspettacolo
pregiudizio	superstizione
demolizione	abbattimento
solfa	solfeggio
latta	lamiera
coordinato	ensemble
marmitta	silenziatore
substrato	sostrato
colloquio	dialogo
imbibizione	prerequisito
detrimento	scapito
idea	concezione
cozza	mitilo
dodecafonia	atonalità
zietta	zia
benessere	agiatezza
accredito	avere
viatore	viandante
minestra	zuppa
prima	debutto
genuinità	autenticità
elemento	ingrediente
nutria	castorino
tipi	tipo
scarpa	tappezziere
cassula	capsula
alterazione	cambiamento
essiccatoio	essiccatore
termine	condizione
lampeggiatore	lampo
alimentari	spezieria
lega	federazione
immagazzinamento	immagazzinaggio
assopimento	sonno
angolazione	angolatura
schizofrenia	abbreviatore
declivio	discesa
geco	tarantolino
improntitudine	petulanza
cannetta	canna
indolenzimento	dolenzia
pollastra	gallinella
bici	ciclo
sperpero	dissipazione
umiliazione	avvilimento
pala	badile
geologo	geofisico
vuoto	asportazione
lacciolo	laccio
allitterazione	calembour
effetto	validità
atmosfera	clima
matrimonio	connubio
sfregamento	fregata
stampo	forma
cortile	aia
cesso	gabinetto
maestro	insegnante
collera	rabbia
conduzione	gestione
sediolo	sulky
compagine	connubio
imbalsamazione	tassidermia
fot	phot
compromesso	patto
pinnacolo	sughero
doccia	grondaia
caratteristica	carattere
piombino	incongruità
strumentalista	musicista
parruccone	retrogrado
zoccolo	unghia
bottega	lavanderia
movimento	spostamento
cortile	corte
orticoltore	orticultore
esule	emigrato
comodità	disponibilità
aborto	mostro
rilancio	commutatore
cocuzzolo	cucuzzolo
nozze	sponsali
ambrosia	nettare
spuntata	rasatura
leninismo	bolscevismo
cibo	mangiare
ripiego	espediente
segreteria	emissione
tarantolismo	tarantismo
giocondità	allegria
elenco	nota
fischione	preoccupazione
dispersione	sparpagliamento
emozione	commozione
squillo	trillo
senna	sena
sentenza	verdetto
dongiovanni	farfallone
stoppione	cardo
didascalia	dicitura
impalcatura	ponteggio
progresso	schiarita
catenella	filo
rapporto	nesso
irritazione	bruciore
impostazione	pianificazione
trina	filet
principio	norma
boss	capoccia
testimonianza	deposito
vescovado	diocesi
esistenza	vita
attacco	frase
incavo	solco
yole	iole
patrocinato	assistito
sobbalzo	scatto
capellone	hippy
consommé	consumato
gelo	brinata
cena	elaterio
disturbo	vendita
godimento	diletto
giudeo	israelita
fantasia	arzigogolo
mistrà	anisetta
apertura	fenditura
incapacità	campagna
parmigiano	grana
papà	babbo
cura	mattinata
sesta	albicocca
indecenza	sconcezza
mattone	fagiolo
acclimatamento	acclimatazione
collaboratore	contributore
satellite	planetoide
annuncio	presentimento
finale	chiusura
elleboro	personificazione
muto	baccalà
adolescente	pubere
giocatore	meteco
dialogo	scapolare
signora	donna
svendita	saldo
macchia	chiazza
messo	procaccia
freddezza	frigidità
nessuno	nullità
parete	muro
radianza	emettenza
attitudine	predisposizione
maggiore	anziano
barman	barista
tandem	posateria
risata	riso
anellidi	anellide
pannocchia	spiga
morbidezza	mollezza
sussurro	bisbiglio
palpito	polso
assenza	lontananza
mondezza	igiene
sfolgorio	vivezza
distanza	giro
brocca	doglio
burla	birichinata
lupacchiotto	lupetto
forno	fornace
fard	rossetto
elettrolita	elettrolito
affezione	malattia
psittacosi	epifisi
oratorio	cantata
estensione	distesa
buonavoglia	bonavoglia
cappello	introduzione
elettore	votante
rotocalco	rotocalcografia
originale	esemplare
sequestro	cattura
mutamento	cambiamento
prevalenza	preponderanza
disinteresse	indifferenza
illusione	maremoto
giainismo	jainismo
lavorazione	fabbricazione
resa	capitolazione
modo	maniera
fascia	cintura
iota	briciolo
trapassato	piuccheperfetto
riconoscenza	gratitudine
originalità	singolarità
bohémien	bohemien
bustina	pochette
canalone	gola
muta	muda
albero	alberino
parlare	discorso
permesso	aspettativa
anelito	bramosia
età	generazione
assistenza	intervento
imbeccata	suggerimento
critico	censore
polpetta	polpettina
mostra	vetrina
golosità	ghiottoneria
costa	costola
indifferenza	apportatore
ambulatorio	gabinetto
moccolo	moccio
sessualità	sesso
caramella	monocolo
rimboschimento	ripopolazione
scacco	casella
durevolezza	resistenza
cessazione	iato
camaglio	passamontagna
rappresentante	esponente
lumacone	lumaca
figurinista	costumista
qualifica	abilitazione
bisticcio	battibecco
malfattore	macellaio
contraccolpo	rinculo
padrino	compare
puntualità	regolarità
insussistenza	inesistenza
pelo	capello
bozzettista	disegnatore
striscia	lembo
ciglio	estremità
immodestia	inverecondia
miscredente	eretico
amore	passione
strato	stato
naviglio	nave
dotto	vaso
spettro	apparizione
costa	litorale
rinvenimento	ritrovamento
medicamento	medicina
letto	bacino
terapia	cura
freddezza	flemma
iuta	juta
adrenalina	epinefrina
opportunità	tempestività
università	ateneo
singolarità	rarità
mangosta	mangusta
motopeschereccio	paranza
menopausa	dualista
formolo	formalina
dovere	servizio
conseguimento	raggiungimento
volto	faccia
gusto	divertimento
monaca	scaldaletto
truciolo	tornitura
neopositivismo	positivismo
direzione	gestione
enumerazione	elencazione
buddhista	buddista
cimiero	elmetto
iole	lancetta
permissività	permissivismo
cialda	wafer
artefice	fattore
filippica	risma
goccia	lagrima
fiaschetteria	taverna
accentramento	centralizzazione
mailing	indirizzario
ebano	anaerobio
fiasco	disastro
cattività	asservimento
destino	caso
tana	covo
travetto	trave
pagano	gentile
clavicembalista	cembalista
solennità	festa
cristalleria	vetreria
fuga	alloggio
cancellazione	annullamento
facchinaggio	foratura
brigantino	caccia
saliva	sputo
bongos	bongo
pm	accusatore
sclerotica	sclera
velo	voile
recettività	ricettività
nudismo	naturismo
compensazione	compenso
condotta	condotto
baccanale	orgia
volontà	arbitrio
parzialità	partigianeria
accompagnatore	hostess
congratulazioni	felicitazioni
thrilling	thriller
plebaglia	plebe
rosaio	roseto
ascesa	salita
escursione	viaggetto
mira	fine
teca	vetrina
alpacca	argentana
entità	misura
ingenuo	balordo
collegamento	allacciamento
botte	stridulazione
amarillide	amarilli
macigno	masso
fiore	crema
soufflé	soffiato
contradizione	opposizione
carro	baroccio
ritrovamento	passo
data	tempo
vitalba	clematide
reame	regno
tromba	clacson
resoconto	relazione
bulldozer	livellatrice
condimento	ripieno
lotta	combattimento
capellone	contestatore
pugnale	ferro
iracheno	irakeno
grassezza	pinguedine
convenuto	prevenuto
comportamento	aria
anastomosi	abboccamento
ingiuria	offesa
bacheca	albo
miscelatore	mixer
isterismo	isteria
sigla	cifra
revolver	rivoltella
anticipazione	caparra
semeiologia	semiotica
rapporto	relazione
tristezza	infelicità
devozione	divozione
ammazzatoio	macello
centiara	mq
convinzione	credenza
principio	massima
aurora	neutralizzazione
debosciato	scostumato
silvicoltura	selvicoltura
tranquillità	quiete
disuso	trascuratezza
pancetta	lancio
rete	reticolato
lastrone	piastra
fusoliera	carlinga
raccolta	colta
panciera	pancera
guglia	pinnacolo
letto	scandaglio
antinebbia	fendinebbia
immaginativa	immaginazione
desuetudine	inosservanza
porno	pornografia
custode	sorvegliante
paese	cittadina
violenza	forza
budget	bilancio
simultaneità	contemporaneità
sopralluogo	controllo
disgelo	contrappeso
demoralizzazione	frustrazione
s	secondo
promemoria	memoria
cardo	stoppione
blasone	arma
forno	panetteria
bellezza	beltà
arancione	arancio
morbillo	fersa
numero	originale
lastricato	selciatura
inondazione	allagamento
condanna	sentenza
motosega	sega
necrologia	necrologio
inseguimento	caccia
pomo	mela
naia	cobra
commento	osservazione
ritiro	sequestro
richiesta	domanda
visione	grattacielo
interiezione	esclamazione
chiodo	bulletta
colosso	gigante
recinto	recinzione
casuistica	casistica
ricordo	memoria
giacimento	campo
cinghia	cinturino
carogna	carcassa
presenza	cospetto
carbonchio	antrace
fiato	respiro
subbuglio	confusione
frasca	ramoscello
circolo	società
ostacolista	saltatore
parte	contributo
impegno	scrupolo
glassa	ghiaccia
balzo	salto
rosolia	rubeola
baia	cala
assolutismo	autoritarismo
alba	albori
sbeffeggiamento	satira
obbiettivo	obiettivo
devoluzione	cessione
generazione	coetaneo
divezzamento	svezzamento
fermacravatta	fermacravatte
romitorio	eremo
fraseologia	slang
saggezza	sapienza
subalternità	inferiorità
zappa	marra
locomotiva	macchina
scrittrice	autrice
inconsapevolezza	nescienza
lacca	savana
football	pallone
credo	culto
dipinto	quadro
palla	pallone
legaccio	cordone
casetta	cottage
alternativa	scelta
avvaloramento	corroborazione
castello	maniero
principio	cominciare
finzione	finta
autorità	governo
binomio	coppia
casamento	caseggiato
doga	prodigio
lasagna	lasagne
leggibilità	scavo
mappamondo	globo
sandwich	tramezzino
quiete	pace
lettera	missiva
attacco	crisi
hockeista	pala
armonia	concordia
contributo	articolo
asserzione	affermazione
derisione	scherno
inverno	verno
proibizione	veto
pozzanghera	pozza
vanità	inanità
corvè	comandata
bovaro	cappellone
riproduzione	replica
conciliazione	accomodamento
ficcanaso	impiccione
olivo	ulivo
constatazione	costatazione
mostro	demonio
avventore	committente
allettamento	pania
brama	ambizione
melanina	artrite
gatto	spratto
scolaro	aderente
elettrobisturi	scalpello
battuta	boutade
cilicio	strazio
avanscoperta	perlustrazione
tavolato	perlinatura
debole	mancanza
bruciatura	scottatura
ricercatezza	preziosità
inquilino	purgazione
sedativo	calmante
intoppo	difficoltà
leggiadria	grazia
socio	partner
cattolicesimo	cattolicismo
agghiaccio	addiaccio
condotto	dotto
bussola	portantina
barriera	cancello
reietto	paria
padrone	padrona
legaccio	cordoncino
bugno	arnia
grado	titolo
novellatore	favolista
galera	galea
maldicenza	scandalo
slogan	motto
ispessimento	addensamento
immobilità	calma
distinzione	onore
calderaio	ramaio
deformazione	mistificazione
capacità	abilità
sottovalutazione	sottostima
lurex	laminato
miseria	velleità
polpa	carne
accolito	adepto
crostaceo	mollusco
balletto	ballo
avvolgimento	carica
patrocinio	patronato
israelita	ebreo
rampollo	virgulto
custodia	cura
banchina	molo
cervellata	cervellato
amnistia	indulto
segnalinee	guardialinee
infingardo	accidioso
nottolino	arpione
scarafaggio	blatta
cartiglio	rotolo
colombaia	piccionaia
asbesto	amianto
liquidazione	pagamento
ciminiera	fumaiolo
acciuga	alice
ventre	seno
uguaglianza	equivalenza
nuvola	nube
prenditore	catcher
sismologia	sismica
aereazione	aerazione
cristianità	cristianesimo
cataclisma	calamità
idillio	bucolica
materiale	doppione
economia	risparmio
mensa	duna
magiaro	ungherese
sopportazione	magnanimità
serra	sierra
pattino	patino
interruzione	intolleranza
ramo	famiglia
notizia	novella
ambulanza	autolettiga
tordela	tordella
dissidenza	dissenso
amerindiano	indiano
banco	barriera
cerasa	ciliegia
stellina	attricetta
chiasmo	chiasma
perversità	iniquità
atteggiamento	nottambulo
stronzata	puttanata
loggia	veranda
moltiplicazione	moltiplica
burattino	marionetta
pergamo	pulpito
portico	stoà
passero	passera
licenziosità	scostumatezza
fuoriclasse	demonio
bastimento	cargo
emporio	affastellamento
lazzaro	lazzero
ovolo	ovulo
rilegatura	copertina
ribrezzo	ripugnanza
stoico	costumanza
sobbalzo	scossa
sequestro	ratto
macchina	locomotiva
yankee	nordista
partenza	dipartita
raccomandazione	parere
pensatore	cervello
arbitro	arbitratore
deiezione	defecazione
fuoruscito	profugo
tonfo	botto
colombaccio	palombo
abitatore	abitante
legamento	maiolica
audacia	sfrontatezza
tassa	compenso
diletto	gioia
carestia	carenza
replica	ripetizione
sommario	epitome
gravimetro	areometro
esasperazione	aggravamento
anfetamina	amfetamina
ampiezza	spaziosità
esquimese	eschimese
somiglianza	sembianza
sigla	acronimo
rinnovo	rinnovamento
regina	donna
citazione	encomio
anticipazione	previsione
brusio	ronzio
gheriglio	gariglio
menade	baccante
mergo	smergo
tocai	convoglio
acagiù	anacardo
frontiera	confine
insegnante	maestro
nesso	rapporto
avviatore	avviamento
sfacelo	debacle
graffiti	graffito
esoscheletro	frappa
polinesiano	svalutazione
garrota	garrotta
campionamento	assaggio
gente	persona
zoo	maglia
portavoce	relatore
selezione	scelta
cappio	forca
determinazione	scoperta
minivan	monovolume
tapiro	maglia
taccuino	carnet
misericordia	compassione
rafia	raffia
unione	congiungimento
flirt	corteggiamento
acconciatrice	pettinatrice
autopubblica	tassì
avidità	insaziabilità
frondista	ammutinato
fecola	amido
costernazione	sconforto
irascibilità	permalosità
scelta	adozione
cachet	capsula
quercia	rovere
avvelenatore	venefico
mercante	negoziante
florilegio	fiore
febbrifugo	antipiretico
accendisigari	accendino
città	metropoli
provviste	rifornimento
avvenenza	bulgaro
spettatore	testimone
maomettano	mussulmano
crociera	transetto
aiuto	manforte
sciatalgia	sciatica
effendi	efendi
alterco	disputa
giuntura	congiuntura
novizio	debuttante
asprezza	asperità
logotipo	logo
sbandata	sbandamento
eschimese	esquimese
abbozzo	scaletta
avo	nonnino
prugnolo	controllo
tresca	intrigo
terriccio	terra
girella	carrucola
potenza	energia
articolazione	ungulati
vendetta	rappresaglia
maroso	ondata
giurisdizione	cognizione
cabinato	cruiser
analfabeta	illetterato
fosforescenza	fotoluminescenza
cachi	kaki
montavivande	calapranzi
senzatetto	almanacco
appetibilità	avvenenza
fuliggine	caligine
moscatello	moscato
consulto	lezione
gastaldo	castaldo
frontalino	alzata
turbogetto	turboelica
gusto	sapore
controsenso	melensaggine
paese	nazione
rilassamento	distensione
biciclo	velocipede
scarpa	tulipano
equivalente	controvalore
accenditore	macchinetta
spostato	sballato
drudo	ganzo
affondata	picchiata
sadomasochista	sadomaso
enigma	rebus
contrapposto	opposto
buffetto	schiaffetto
marmotta	dormiglione
tropico	cavalletto
caso	episodio
esportazione	export
bisessuale	bisex
prolificità	fecondità
labilità	fugacità
nomade	caducità
zither	cetra
focolaio	focus
ammissione	entrata
pista	aeroscalo
gazzetta	gazzettino
filettatura	filetto
fratello	confratello
ricevuta	bolletta
compositore	autore
possibilità	caso
recita	dizione
racchetta	tennista
fata	spiritello
ingresso	entrata
armacollo	bandoliera
ghenga	ganga
gioco	giocata
riscatto	depresso
forziere	cofano
coscienziosità	coscienza
bollita	lessatura
chèque	assegno
pena	punizione
mediatore	mezzano
alpinista	arrampicatore
soprannome	denominazione
barba	barbiglio
albatros	albatro
deposito	rimessa
termostato	termoregolatore
fanale	lume
crocicchio	attraversamento
illibatezza	sbocco
soprattassa	addizionale
resta	lisca
confusione	sconquasso
pelame	pelliccia
collo	malloppo
intervallo	spazio
eiezione	espulsione
chiaro	luce
polmonite	pneumonite
callo	durone
coltivazione	coltura
giornale	rivista
accumulazione	ammassamento
frassinella	dittamo
figurante	comparsa
prenome	collusione
colonna	pilastro
sottigliezza	esilità
isopo	issopo
attivante	attivatore
riedificazione	ricostruzione
felicità	beatitudine
imboccatura	bocca
cinturino	braccialetto
vigilanza	sorveglianza
giravolta	svolta
botta	cozzo
rana	rospo
isolante	dielettrico
colonizzazione	tempio
sottospecie	razza
accento	enfasi
base	basamento
vaccheria	stalla
tassabilità	imponibilità
spogliarellista	stripper
cencio	canovaccio
staccionata	cancellata
arrendevolezza	consenso
combinatore	comando
svantaggio	disfavore
magagna	imperfezione
conducibilità	conduttività
lirica	melodramma
tuberosa	efficacia
camino	focolare
bambinaia	nurse
riedizione	rifacimento
filetto	gallone
clan	nucleotide
acquisto	compera
prova	test
ermetismo	astrusità
gentilezza	bonomia
rango	grado
garantia	garanzia
fonografo	giradischi
diecimila	miriade
ablativo	relazione
manata	manciata
commercialista	ragioniere
sprecone	scialacquatore
liquida	forchettone
cieco	ceco
iperpiressia	caramello
habitat	ambiente
libidine	avarizia
anatomia	analisi
massima	motto
iperpnea	iperventilazione
oro	alare
ellissi	ellisse
probità	dirittura
cesto	cesta
portellino	finestrino
rabbia	idrofobia
riformatore	solone
sovrannaturale	soprannaturale
gladiatore	opinionista
sbilancio	ammanco
calibro	alesaggio
pernio	perno
ammiccamento	cenno
cartoccio	spirale
becchime	mangime
raccogliticcio	schiera
brigata	compagnia
negatività	negativismo
grattacapo	affanno
passivo	dare
zoppia	claudicazione
piede	fallimento
veste	funzione
acume	sagacia
mariagiovanna	hashish
compagno	convivente
sud	meridione
caviglia	fuso
ecclettismo	eclettismo
teredine	bruma
luce	chiaro
cimossa	cancellino
banda	bordo
nominazione	designazione
libro	volume
engineer	ingegnere
coronazione	incoronamento
strofa	strofe
armatura	intreccio
sacrificio	etisia
io	ego
genuinità	naturalezza
fosso	fossato
tallone	calcagno
perno	pernio
patologo	diagnostico
vetreria	seduzione
supplica	implorazione
accumulo	agglomerazione
collier	girocollo
montagna	monte
oscillazione	variazione
preoccupazione	interesse
famiglia	casa
pietra	codolo
cassa	banca
stimolo	sollecitazione
deutoplasma	rosso
ascolto	ascoltazione
resoconto	rendiconto
ragazzo	fanciullo
grafologo	tartrato
pelosità	villosità
bingo	tombola
cucco	cuculo
debito	impegno
imprecazione	maledizione
menzione	encomio
pupazzo	bambola
polizia	gendarmeria
bue	ciocco
bubbola	lepiota
asportazione	ablazione
casotto	chiosco
interrogativo	dubbio
volframio	tungsteno
carpenteria	falegnameria
talare	tonaca
vescica	bolla
misura	provvedimento
deperimento	deterioramento
cantatore	cantante
derivato	sottoprodotto
circolazione	circolo
campo	ramo
robustezza	gagliardia
urlo	strillo
etilismo	alcolismo
poppatoio	biberon
affidavit	deposizione
macrocosmo	universo
sincerità	lealtà
nascondino	barattolo
impronta	pentimento
ridistribuzione	redistribuzione
cliente	patrocinato
omicida	micidiale
bolletta	bulletta
scetticismo	miscredenza
via	strada
imprudenza	avventatezza
miseria	bisogno
storia	pretesto
ascendenza	origine
buccia	cute
buttata	getto
editorialista	colonnista
sale	tigna
fuoco	rogo
granato	granata
cumino	comino
fiasco	catastrofe
treggia	slitta
vestito	abito
documento	incartamento
noiosità	rompiballe
propilene	propene
saxofono	sassofono
appannaggio	prerogativa
palla	globo
vocabolo	lessema
occasione	avvenimento
canonico	sintomo
tuttofare	factotum
induzione	induttanza
brontolone	borbottone
turno	giro
guardacoste	guardiacoste
ingaggio	reclutamento
coltre	coperta
maharajah	bobina
autorità	jais
fabbisogno	occorrente
parallelo	latitudine
opulenza	ricchezza
caposquadra	capo
briciola	mollica
ireos	iris
franco	inidoneità
vestigio	memoria
monocromato	monocromo
basilico	cadenza
colapasta	scolapasta
endovena	endovenosa
incrociamento	ibridazione
residualità	insignificanza
devozione	culto
riserva	pfennig
rovina	distruzione
canapè	divano
profano	laico
saldatura	cordone
discernimento	avvedutezza
foratura	bucatura
tassidermista	impagliatore
bomba	bombolone
marito	sposo
giorno	tempo
embolia	embolismo
conto	assegnamento
labaro	insegna
alberello	arboscello
cerbiatto	daino
festino	banchetto
piacere	gradimento
volto	viso
fondale	sinistroide
mussolina	mussolino
scostumatezza	dissolutezza
bavero	colletto
vudù	vuduismo
revisione	aggiornamento
gnome	aforismo
patibolo	forca
asciuttezza	stringatezza
filamento	fibra
espletazione	effettuazione
putridume	decomposizione
impegno	obbligazione
circolo	giro
ciotola	scodellata
gentleman	gentiluomo
pastosità	pienezza
apicultura	apicoltura
mineralogista	mineralista
smarrimento	allarme
insegna	bandiera
automa	robot
gittata	portata
callista	pedicure
cornice	ambiente
rivelatore	sviluppatore
banderuola	trasformista
predone	spogliatore
cremisi	motivazione
maccarello	scombro
ponderatezza	riflessività
stalattite	capovolgimento
posterità	posteri
diversivo	golpe
facondia	eloquenza
cloaca	bottino
reparto	divisione
azione	attività
prolissità	verbosità
dissenziente	obiettore
proposta	suggerimento
malga	baita
comportamentista	behaviorista
caccia	cacciatorpediniere
bustina	busta
freddezza	aplomb
plotone	drappello
kleenex	diametro
auspice	augure
vocabolario	lessico
ecogoniometro	colonna
giudizio	verdetto
prugnolo	beqquadro
bomba	krapfen
calandra	cilindro
antagonista	rivale
nobildonna	dama
appellativo	nome
docenza	insegnamento
trucco	maquillage
falso	adulterazione
mandato	insufflazione
invenzione	ideazione
legame	legatura
catalizzazione	catalisi
orale	interrogazione
portalettere	postino
assassinio	sterminio
accantonamento	acquartieramento
passo	mossa
circuito	circonferenza
pugilista	pugilatore
garbo	grazia
diritto	legge
decilitro	dl
macaco	fantascienza
sospetto	presunzione
creta	argilla
garanzia	garantia
antenato	padre
sgarro	sbaglio
reclusorio	penitenziario
autostello	motel
sfondo	fondale
barca	bastimento
aculeo	pungiglione
salmodia	innodia
ausilio	risorsa
brontolio	borbottio
avvocato	guardiano
periferia	dintorni
dinasta	monarca
meta	disegno
strascico	coda
formaggio	cacio
macchietta	macchiolina
putta	fanciulla
religioso	frate
modo	tassabilità
mente	memoria
talismano	amuleto
accesso	bizza
rapporto	affiliazione
cranio	teschio
vettura	carrozza
fulmicotone	nitrocellulosa
caucasico	bianco
prodizione	tradimento
rugiada	guazza
ondulazione	spinacio
legnata	batosta
tegola	embrice
canonica	pievania
legume	baccello
trattabilità	arrendevolezza
imprenditore	sudafricano
portafoglio	portafogli
schizofrenia	arciduchessa
divertimento	serenata
